id,title,price,link,image_link,availability,brand,condition,mpn,description
test-123,"Smoke Test Rug",123.45 USD,https://aytekrugs.com/rug/test-123,https://example.com/i.jpg,in stock,Aytek Rugs,new,test-123,"Smoke Test Rug"
10002,"Anatolian Rug",299.00 USD,https://aytekrugs.com/rug/10002,https://drive.usercontent.google.com/download?id=1JrGeVxJI15MDNOai82tpr0PARlxMFR9T&export=view,in stock,Aytek Rugs,new,10002,"SKU: 10002Material: Wool pile; cotton foundation (fringes cotton)Dyes: Natural vegetable & root dyesEco‑Friendly: Low‑impact, sustainably dyedHand‑knotted Cappadocia (Kapadokya) rug — traditional Anatolian craftsmanship with balanced patterns and durable construction; ideal for living spaces seeking both character and longevity."
test-utf8,"Test Rug UTF8",90.00 USD,https://aytekrugs.com/rug/test-utf8,https://example.com/1.jpg,in stock,Aytek Rugs,new,test-utf8,"Test Rug UTF8"
10003,"Cappadocia rug",0.00 USD,https://aytekrugs.com/rug/10003,https://drive.usercontent.google.com/download?id=1kG0uUvnTVTNH8uwQh6PQoBiYrS54kEBm&export=view,in stock,Aytek Rugs,new,10003,"SKU: 10003Material: Wool pile; cotton foundation (fringes cotton)Dyes: Natural vegetable & root dyesEco‑Friendly: Low‑impact, sustainably dyedHand‑knotted Cappadocia (Kapadokya) rug — traditional Anatolian craftsmanship with balanced patterns and durable construction; ideal for living spaces seeking both character and longevity."
10004,"Cappadocia rug",0.00 USD,https://aytekrugs.com/rug/10004,https://drive.usercontent.google.com/download?id=14hzo9QzqE5-JmcBJEGresLx-9RBC1Hed&export=view,in stock,Aytek Rugs,new,10004,"SKU: 10004Material: Wool pile; cotton foundation (fringes cotton)Dyes: Natural vegetable & root dyesEco‑Friendly: Low‑impact, sustainably dyedHand‑knotted Cappadocia (Kapadokya) rug — traditional Anatolian craftsmanship with balanced patterns and durable construction; ideal for living spaces seeking both character and longevity."
10005,"Cappadocia rug",0.00 USD,https://aytekrugs.com/rug/10005,https://drive.usercontent.google.com/download?id=1VSx7MkDhgiTpGlBA2oNVKx6CJjoxaKkN&export=view,in stock,Aytek Rugs,new,10005,"SKU: 10005Material: Wool pile; cotton foundation (fringes cotton)Dyes: Natural vegetable & root dyesEco‑Friendly: Low‑impact, sustainably dyedHand‑knotted Cappadocia (Kapadokya) rug — traditional Anatolian craftsmanship with balanced patterns and durable construction; ideal for living spaces seeking both character and longevity."
10006,"Cappadocia rug",0.00 USD,https://aytekrugs.com/rug/10006,https://drive.usercontent.google.com/download?id=1rfTNtEvLvJpxFjxFfC8l_lVZ7B59ZUE-&export=view,in stock,Aytek Rugs,new,10006,"SKU: 10006Material: Wool pile; cotton foundation (fringes cotton)Dyes: Natural vegetable & root dyesEco‑Friendly: Low‑impact, sustainably dyedHand‑knotted Cappadocia (Kapadokya) rug — traditional Anatolian craftsmanship with balanced patterns and durable construction; ideal for living spaces seeking both character and longevity."
10007,"Cappadocia rug",0.00 USD,https://aytekrugs.com/rug/10007,https://drive.usercontent.google.com/download?id=1Lyz-P-ALWVmcq8wgfGbswXfcmVoA1Mkd&export=view,in stock,Aytek Rugs,new,10007,"SKU: 10007Material: Wool pile; cotton foundation (fringes cotton)Dyes: Natural vegetable & root dyesEco‑Friendly: Low‑impact, sustainably dyedHand‑knotted Cappadocia (Kapadokya) rug — traditional Anatolian craftsmanship with balanced patterns and durable construction; ideal for living spaces seeking both character and longevity."
10010,"Cappadocia rug",0.00 USD,https://aytekrugs.com/rug/10010,https://drive.usercontent.google.com/download?id=1NMN4eRyuMMNnRnPvtaCT8bacwtnM3NJz&export=view,in stock,Aytek Rugs,new,10010,"SKU: 10010Material: Wool pile; cotton foundation (fringes cotton)Dyes: Natural vegetable & root dyesEco‑Friendly: Low‑impact, sustainably dyedHand‑knotted Cappadocia (Kapadokya) rug — traditional Anatolian craftsmanship with balanced patterns and durable construction; ideal for living spaces seeking both character and longevity."
10011,"Cappadocia rug",0.00 USD,https://aytekrugs.com/rug/10011,https://drive.usercontent.google.com/download?id=1DiWIurHo52rJ4CxfqGMbHCwgWLxUtXvc&export=view,in stock,Aytek Rugs,new,10011,"SKU: 10011Material: Wool pile; cotton foundation (fringes cotton)Dyes: Natural vegetable & root dyesEco‑Friendly: Low‑impact, sustainably dyedHand‑knotted Cappadocia (Kapadokya) rug — traditional Anatolian craftsmanship with balanced patterns and durable construction; ideal for living spaces seeking both character and longevity."
10012,"Cappadocia rug",0.00 USD,https://aytekrugs.com/rug/10012,https://drive.usercontent.google.com/download?id=1kgEJBLf1QbYBHCH7WvLlR0Yz0Hm5Eat4&export=view,in stock,Aytek Rugs,new,10012,"SKU: 10012Material: Wool pile; cotton foundation (fringes cotton)Dyes: Natural vegetable & root dyesEco‑Friendly: Low‑impact, sustainably dyedHand‑knotted Cappadocia (Kapadokya) rug — traditional Anatolian craftsmanship with balanced patterns and durable construction; ideal for living spaces seeking both character and longevity."
