id,title,price,link,image_link,availability,brand,condition,mpn,description
test-123,"Smoke Test Rug",123.45 USD,https://aytekrugs.com/rug/test-123,https://example.com/i.jpg,in stock,Aytek Rugs,new,test-123,"Smoke Test Rug"
10002,"Anatolian Rug",299.00 USD,https://aytekrugs.com/rug/10002,https://example.com/a.jpg,in stock,Aytek Rugs,new,10002,"Anatolian Rug"
test-utf8,"Test Rug UTF8",90.00 USD,https://aytekrugs.com/rug/test-utf8,https://example.com/1.jpg,in stock,Aytek Rugs,new,test-utf8,"Test Rug UTF8"
10003,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10003,[object Object],in stock,Aytek Rugs,new,10003,"Cappadocia rug"
10004,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10004,[object Object],in stock,Aytek Rugs,new,10004,"Cappadocia rug"
10005,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10005,[object Object],in stock,Aytek Rugs,new,10005,"Cappadocia rug"
10006,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10006,[object Object],in stock,Aytek Rugs,new,10006,"Cappadocia rug"
10007,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10007,[object Object],in stock,Aytek Rugs,new,10007,"Cappadocia rug"
10010,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10010,[object Object],in stock,Aytek Rugs,new,10010,"Cappadocia rug"
10011,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10011,[object Object],in stock,Aytek Rugs,new,10011,"Cappadocia rug"
10012,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10012,[object Object],in stock,Aytek Rugs,new,10012,"Cappadocia rug"
10013,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10013,[object Object],in stock,Aytek Rugs,new,10013,"Cappadocia rug"
10014,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10014,[object Object],in stock,Aytek Rugs,new,10014,"Cappadocia rug"
10015,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10015,[object Object],in stock,Aytek Rugs,new,10015,"Cappadocia rug"
10016,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10016,[object Object],in stock,Aytek Rugs,new,10016,"Cappadocia rug"
10017,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10017,[object Object],in stock,Aytek Rugs,new,10017,"Cappadocia rug"
10018,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10018,[object Object],in stock,Aytek Rugs,new,10018,"Cappadocia rug"
10019,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10019,[object Object],in stock,Aytek Rugs,new,10019,"Cappadocia rug"
10020,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10020,[object Object],in stock,Aytek Rugs,new,10020,"Cappadocia rug"
10021,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10021,[object Object],in stock,Aytek Rugs,new,10021,"Cappadocia rug"
10022,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10022,[object Object],in stock,Aytek Rugs,new,10022,"Cappadocia rug"
10023,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10023,[object Object],in stock,Aytek Rugs,new,10023,"Cappadocia rug"
10025,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10025,[object Object],in stock,Aytek Rugs,new,10025,"Cappadocia rug"
10024,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10024,[object Object],in stock,Aytek Rugs,new,10024,"Cappadocia rug"
10026,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10026,[object Object],in stock,Aytek Rugs,new,10026,"Cappadocia rug"
10027,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10027,[object Object],in stock,Aytek Rugs,new,10027,"Cappadocia rug"
10028,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10028,[object Object],in stock,Aytek Rugs,new,10028,"Cappadocia rug"
10029,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10029,[object Object],in stock,Aytek Rugs,new,10029,"Cappadocia rug"
10030,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10030,[object Object],in stock,Aytek Rugs,new,10030,"Cappadocia rug"
10031,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10031,[object Object],in stock,Aytek Rugs,new,10031,"Cappadocia rug"
10033,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10033,[object Object],in stock,Aytek Rugs,new,10033,"Cappadocia rug"
10032,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10032,[object Object],in stock,Aytek Rugs,new,10032,"Cappadocia rug"
10034,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10034,[object Object],in stock,Aytek Rugs,new,10034,"Cappadocia rug"
10042,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10042,[object Object],in stock,Aytek Rugs,new,10042,"Cappadocia rug"
10036,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10036,[object Object],in stock,Aytek Rugs,new,10036,"Cappadocia rug"
10035,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10035,[object Object],in stock,Aytek Rugs,new,10035,"Cappadocia rug"
10038,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10038,[object Object],in stock,Aytek Rugs,new,10038,"Cappadocia rug"
10037,"Cappadocia rug",undefined USD,https://aytekrugs.com/rug/10037,[object Object],in stock,Aytek Rugs,new,10037,"Cappadocia rug"
