"Path","Name","SizeKB","Rows","Header","IsColorsCsv","IsSizesCsv","LastWrite","SHA256"
"C:\Users\aykut\Downloads\googleadds product.csv","googleadds product.csv","48","449","Ürün raporu","False","False","2/8/2025 3:23:16 PM","AA607B50FF17AF1049B38A1A4C38AA5FD04E52C30559CAACA8792064210EA8D5"
"C:\Users\aykut\Downloads\merchant_feed_first_50_FIXED.csv.f405519640.u1749068292377734.feeduploadreport.csv","merchant_feed_first_50_FIXED.csv.f405519640.u1749068292377734.feeduploadreport.csv","7","103","Feed adı,Feed Kimliği,Müşteri Kimliği,Yüklenme zamanı","False","False","6/4/2025 4:35:59 PM","28EB516A36216EA09224BF24E579454ED06665D5C361F62F58F489773D37F224"
"C:\Users\aykut\Downloads\missing_images.csv","missing_images.csv","200","2051","product_id,order,isPrimary,alt,url","False","False","9/7/2025 9:35:45 PM","96406470DF2A882FFF677657CC4914EA56DA68FCEB29C97DEF600B29E2E0DD46"
"C:\Users\aykut\Downloads\products_Apr-29_03-42-55PM.csv","products_Apr-29_03-42-55PM.csv","5061","934","""Product ID [Non Editable]"",""Variant ID [Non Editable]"",""Product Type [Non Editable]"",""Product Page"",""Product URL"",""Title"",""Description"",""SKU"",""Option Name 1"",""Option Value 1"",""Option Name 2"",""Option Value 2"",""Option Name 3"",""Option Value 3"",""Option Name 4"",""Option Value 4"",""Option Name 5"",""Option Value 5"",""Option Name 6"",""Option Value 6"",""Price"",""Sale Price"",""On Sale"",""Stock"",""Categories"",""Tags"",""Weight"",""Length"",""Width"",""Height"",""Visible"",""Hosted Image URLs""","False","False","4/29/2025 3:43:01 PM","F9DD54B51135736D860917CDAA0F9F58F5DD31DC0DD11F57259D1E5C14B42950"
"C:\Users\aykut\Downloads\products_May-03_11-29-31AM.csv","products_May-03_11-29-31AM.csv","2887","1868","""Product ID [Non Editable]"",""Variant ID [Non Editable]"",""Product Type [Non Editable]"",""Product Page"",""Product URL"",""Title"",""Description"",""SKU"",""Option Name 1"",""Option Value 1"",""Option Name 2"",""Option Value 2"",""Option Name 3"",""Option Value 3"",""Option Name 4"",""Option Value 4"",""Option Name 5"",""Option Value 5"",""Option Name 6"",""Option Value 6"",""Price"",""Sale Price"",""On Sale"",""Stock"",""Categories"",""Tags"",""Weight"",""Length"",""Width"",""Height"",""Visible"",""Hosted Image URLs""","False","False","5/3/2025 11:29:38 AM","6D9849BA49E67FC97AE3389A473198817FC48CF365F3F8805E5982F6222F3520"
"C:\Users\aykut\Downloads\products_May-03_cleaned_descriptions.csv","products_May-03_cleaned_descriptions.csv","2829","1868","Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs","False","False","5/3/2025 9:46:31 AM","4BC1E8980F7A190AE194062D301898A4217484C4CAF9F869C8919006C7A086FA"
"C:\Users\aykut\Downloads\rumi carpets deneme1.csv","rumi carpets deneme1.csv","20","100","id,title,description,link,image_link,availability,price","False","False","4/29/2025 3:37:05 PM","25C104F7F423B47467FB82BEDC12D3A5C87517CCDF0CB1F803A1F792688487CE"
"C:\Users\aykut\Downloads\rumi_kazak_collection_merchant_ready.csv","rumi_kazak_collection_merchant_ready.csv","466","919","id,title,description,link,image_link,price,sale_price,brand,condition,availability,color,gender,age_group,material,pattern,size,mpn","False","False","5/9/2025 12:57:32 AM","FA1A0AAE67E90C9A3A35082016A41ADDBFD5DEBCFF3E112FD0B275DD997928EC"
"C:\Users\aykut\Downloads\rumicarpets_google_ready2.csv","rumicarpets_google_ready2.csv","2634","934","Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs","False","False","4/16/2025 11:15:10 PM","ABB60A2CA2A57AA40ABA2E0707DAB684F625B856B13784DE1A884CF65AE4A233"
"C:\Users\aykut\Downloads\speed_search_template (1).csv","speed_search_template (1).csv","0","3","FirstName,LastName,Address,City,State,Zip,Phone","False","False","10/17/2023 5:57:37 PM","3F88D92E8DD9657C10C42E3EC6EACCB294F8B2A17C85F5E58A2A4C6A79AF10E7"
"C:\Users\aykut\Downloads\speed_search_template.csv","speed_search_template.csv","0","3","FirstName,LastName,Address,City,State,Zip,Phone","False","False","10/17/2023 5:56:58 PM","3F88D92E8DD9657C10C42E3EC6EACCB294F8B2A17C85F5E58A2A4C6A79AF10E7"
