sku,color1,color2,color3,image,error
10000,,,,,"no-image"
10001,,,,,"no-image"
10002,#ffffff,#a57b5a,#a5845a,"https://drive.google.com/uc?export=view&id=1JrGeVxJI15MDNOai82tpr0PARlxMFR9T",
10003,#ffffff,#9c7b6b,#947b63,"https://drive.google.com/uc?export=view&id=1kG0uUvnTVTNH8uwQh6PQoBiYrS54kEBm",
10004,#ffffff,#6b524a,#634a42,"https://drive.google.com/uc?export=view&id=14hzo9QzqE5-JmcBJEGresLx-9RBC1Hed",
10005,#ffffff,#6b523a,#7b5a42,"https://drive.google.com/uc?export=view&id=1VSx7MkDhgiTpGlBA2oNVKx6CJjoxaKkN",
10006,#ffffff,#634a3a,#4a3a31,"https://drive.google.com/uc?export=view&id=1rfTNtEvLvJpxFjxFfC8l_lVZ7B59ZUE-",
10007,#ffffff,#947342,#8c6b3a,"https://drive.google.com/uc?export=view&id=1Lyz-P-ALWVmcq8wgfGbswXfcmVoA1Mkd",
10008,,,,,"no-image"
10009,,,,,"no-image"
10010,#ffffff,#84735a,#7b6b52,"https://drive.google.com/uc?export=view&id=1NMN4eRyuMMNnRnPvtaCT8bacwtnM3NJz",
10011,#846b52,#8c735a,#7b634a,"https://drive.google.com/uc?export=view&id=1DiWIurHo52rJ4CxfqGMbHCwgWLxUtXvc",
10012,#735a4a,#6b5242,#7b6352,"https://drive.google.com/uc?export=view&id=1kgEJBLf1QbYBHCH7WvLlR0Yz0Hm5Eat4",
10013,#ffffff,#422921,#732119,"https://drive.google.com/uc?export=view&id=1Jhg2qGysyuF3rrrY4q2bRy-I6406CfAF",
10014,#ffffff,#73523a,#7b5a42,"https://drive.google.com/uc?export=view&id=1fl2OPf9rknYCbY4kfk6bu9R07C99fVoi",
10015,#ffffff,#6b523a,#634a31,"https://drive.google.com/uc?export=view&id=1giKJ6lelhVCmHH_ILFe4Y2S_pvcMXzcE",
10016,#5a2921,#633129,#522921,"https://drive.google.com/uc?export=view&id=1nv6hca2K36sc8EtDKicj4ObObjHjNkkH",
10017,#ffffff,#b58c6b,#9c7b63,"https://drive.google.com/uc?export=view&id=1y0jw3Trw8Gw3xaB5v8TJnyKgu9X7GI1i",
10018,#846b52,#8c6b52,#8c735a,"https://drive.google.com/uc?export=view&id=1StUM0Bns5BaApeBG7ofFuwcf6rxk1acF",
10019,#634a3a,#732921,#5a4231,"https://drive.google.com/uc?export=view&id=146xRnWyJsSRD06tbB8f86nmZzBNibWEx",
10020,#9c7b63,#a5846b,#845a4a,"https://drive.google.com/uc?export=view&id=1UrNMyfrbd7kV6UlciJi3CsECmk3svXMD",
10021,#8c6b52,#84634a,#846b52,"https://drive.google.com/uc?export=view&id=1n4y9bmiPgAQx76JO8Xmxc6N3jpq0cjhU",
10022,#ffffff,#6b5242,#735a4a,"https://drive.google.com/uc?export=view&id=1VqVzOD6Yc1YdK4IISFxHE5LK4jlsYlVK",
10023,#ffffff,#947b63,#8c735a,"https://drive.google.com/uc?export=view&id=12KU8N36bxCEpBuUB1KD0IUE_KC-ObpPm",
10024,#94735a,#8c735a,#8c6b52,"https://drive.google.com/uc?export=view&id=1Bbe8B0MOU6wpdZsrk0xgtjQe7ePrvoTy",
10025,#ffffff,#846b52,#9c846b,"https://drive.google.com/uc?export=view&id=1Hwpvkp7yhGaBl4bUgdYm-rTS86HfUjT-",
10026,#5a4231,#634231,#634a3a,"https://drive.google.com/uc?export=view&id=1j9qxX46jpMi_hQN7Yiy8bSIgmWg3xHiT",
10027,#8c735a,#8c6b5a,#947b63,"https://drive.google.com/uc?export=view&id=1lc-IdyXUEiNyGgq5aoU0M5hFcrHZ_qmi",
10028,#ffffff,#634a3a,#5a4a3a,"https://drive.google.com/uc?export=view&id=1gvpdIb9U694fUMDZ53EGYfkfs-pbpfAx",
10029,#ffffff,#7b634a,#6b5a42,"https://drive.google.com/uc?export=view&id=1RQ4ImVfG-IU4ZLSDqnr3vAujOhQ8qR9p",
10030,#6b5242,#634a42,#8c7b63,"https://drive.google.com/uc?export=view&id=1zkRL0oLV4Fayg-2mRVRVY9RHZRsMkTZE",
10031,#ffffff,#52423a,#5a4a42,"https://drive.google.com/uc?export=view&id=1WcpSccp_MV2MJKHrVVoyQUm3jnwICihk",
10032,#ffffff,#5a0810,#522121,"https://drive.google.com/uc?export=view&id=15Rt6Xm48V6pC9oWHbjwKgWE8IWG_mZCx",
10033,#ffffff,#94735a,#8c6b52,"https://drive.google.com/uc?export=view&id=1OLkr8PkIpcXNnRT9Sqm0I3lrGgvw_cpP",
10034,#ffffff,#9c847b,#947b73,"https://drive.google.com/uc?export=view&id=1fZ2FXVNY5orxNIHk-NOyyuU_NuupC4vm",
10035,#ffffff,#735242,#5a4231,"https://drive.google.com/uc?export=view&id=1Rb397NfdhCrnC24q4IuScINgpk6oReon",
10036,#846342,#8c6b4a,#846b4a,"https://drive.google.com/uc?export=view&id=1sqduI95iLypbBi0EzDuMi5R6bFui1hcx",
10037,#8c7b63,#94846b,#847363,"https://drive.google.com/uc?export=view&id=1zkp4fPk_VtjU6OQh7g7h72Ih7lVkjcca",
10038,#ffffff,#635a4a,#736352,"https://drive.google.com/uc?export=view&id=1-IUNNKhnbJCfh8tP2_huwF28-2CRZYCY",
10039,,,,,"no-image"
10040,,,,,"no-image"
10041,#ffffff,#735a4a,#6b5242,"https://drive.google.com/uc?export=view&id=1ac5p_ijHsn9yiNbgieNzMRf1v1578ZXN",
10042,#ffffff,#736352,#52423a,"https://drive.google.com/uc?export=view&id=1XUxJhZMzFQDh51Q2TKhxXiCU5LtX0sdh",
10043,#ffffff,#7b6b5a,#736352,"https://drive.google.com/uc?export=view&id=17nqsb51Xs8rUMIqRv6qtrQ_3cOXr6zqD",
10044,#524242,#4a4242,#7b5a4a,"https://drive.google.com/uc?export=view&id=1JjKU539ZBxhmMo-DU4lKy88NZ0SvSSMG",
10045,,,,,"no-image"
10046,#ffffff,#84634a,#a58463,"https://drive.google.com/uc?export=view&id=1GI9hH4kP4UqVukJi9I7YmcN0NnH0_vO7",
10047,#ffffff,#735a3a,#634a31,"https://drive.google.com/uc?export=view&id=1wbL4XmHczribT9IoH1d6g_peAkCRSpAM",
10048,#8c7b63,#7b6b5a,#846b5a,"https://drive.google.com/uc?export=view&id=1Lfy64rLSHP241K7pY6yMp7Bd-I1iR2u2",
10049,#ffffff,#5a4a3a,#735a42,"https://drive.google.com/uc?export=view&id=1COKxVyK0zN9vZaeb_zMJYDgijlIjOqRO",
10050,,,,,"no-image"
