sku,image,color,origin,size,description,color1,color2,color3,error
10000,,,,,,,,,no-image
10001,,,,,,,,,no-image
10002,https://drive.google.com/uc?export=view&id=1JrGeVxJI15MDNOai82tpr0PARlxMFR9T,#ffffff;#a57b5a;#a5845a,,,Color: #ffffff;#a57b5a;#a5845a,#ffffff,#a57b5a,#a5845a,
10003,https://drive.google.com/uc?export=view&id=1kG0uUvnTVTNH8uwQh6PQoBiYrS54kEBm,#ffffff;#9c7b6b;#947b63,,,Color: #ffffff;#9c7b6b;#947b63,#ffffff,#9c7b6b,#947b63,
10004,https://drive.google.com/uc?export=view&id=14hzo9QzqE5-JmcBJEGresLx-9RBC1Hed,#ffffff;#6b524a;#634a42,,,Color: #ffffff;#6b524a;#634a42,#ffffff,#6b524a,#634a42,
10005,https://drive.google.com/uc?export=view&id=1VSx7MkDhgiTpGlBA2oNVKx6CJjoxaKkN,#ffffff;#6b523a;#7b5a42,,,Color: #ffffff;#6b523a;#7b5a42,#ffffff,#6b523a,#7b5a42,
10006,https://drive.google.com/uc?export=view&id=1rfTNtEvLvJpxFjxFfC8l_lVZ7B59ZUE-,#ffffff;#634a3a;#4a3a31,,,Color: #ffffff;#634a3a;#4a3a31,#ffffff,#634a3a,#4a3a31,
10007,https://drive.google.com/uc?export=view&id=1Lyz-P-ALWVmcq8wgfGbswXfcmVoA1Mkd,#ffffff;#947342;#8c6b3a,,,Color: #ffffff;#947342;#8c6b3a,#ffffff,#947342,#8c6b3a,
10008,,,,,,,,,no-image
10009,,,,,,,,,no-image
10010,https://drive.google.com/uc?export=view&id=1NMN4eRyuMMNnRnPvtaCT8bacwtnM3NJz,#ffffff;#84735a;#7b6b52,,,Color: #ffffff;#84735a;#7b6b52,#ffffff,#84735a,#7b6b52,
10011,https://drive.google.com/uc?export=view&id=1DiWIurHo52rJ4CxfqGMbHCwgWLxUtXvc,#846b52;#8c735a;#7b634a,,,Color: #846b52;#8c735a;#7b634a,#846b52,#8c735a,#7b634a,
10012,https://drive.google.com/uc?export=view&id=1kgEJBLf1QbYBHCH7WvLlR0Yz0Hm5Eat4,#735a4a;#6b5242;#7b6352,,,Color: #735a4a;#6b5242;#7b6352,#735a4a,#6b5242,#7b6352,
10013,https://drive.google.com/uc?export=view&id=1Jhg2qGysyuF3rrrY4q2bRy-I6406CfAF,#ffffff;#422921;#732119,,,Color: #ffffff;#422921;#732119,#ffffff,#422921,#732119,
10014,https://drive.google.com/uc?export=view&id=1fl2OPf9rknYCbY4kfk6bu9R07C99fVoi,#ffffff;#73523a;#7b5a42,,,Color: #ffffff;#73523a;#7b5a42,#ffffff,#73523a,#7b5a42,
10015,https://drive.google.com/uc?export=view&id=1giKJ6lelhVCmHH_ILFe4Y2S_pvcMXzcE,#ffffff;#6b523a;#634a31,,,Color: #ffffff;#6b523a;#634a31,#ffffff,#6b523a,#634a31,
10016,https://drive.google.com/uc?export=view&id=1nv6hca2K36sc8EtDKicj4ObObjHjNkkH,#5a2921;#633129;#522921,,,Color: #5a2921;#633129;#522921,#5a2921,#633129,#522921,
10017,https://drive.google.com/uc?export=view&id=1y0jw3Trw8Gw3xaB5v8TJnyKgu9X7GI1i,#ffffff;#b58c6b;#9c7b63,,,Color: #ffffff;#b58c6b;#9c7b63,#ffffff,#b58c6b,#9c7b63,
10018,https://drive.google.com/uc?export=view&id=1StUM0Bns5BaApeBG7ofFuwcf6rxk1acF,#846b52;#8c6b52;#8c735a,,,Color: #846b52;#8c6b52;#8c735a,#846b52,#8c6b52,#8c735a,
10019,https://drive.google.com/uc?export=view&id=146xRnWyJsSRD06tbB8f86nmZzBNibWEx,#634a3a;#732921;#5a4231,,,Color: #634a3a;#732921;#5a4231,#634a3a,#732921,#5a4231,
10020,https://drive.google.com/uc?export=view&id=1UrNMyfrbd7kV6UlciJi3CsECmk3svXMD,#9c7b63;#a5846b;#845a4a,,,Color: #9c7b63;#a5846b;#845a4a,#9c7b63,#a5846b,#845a4a,
10021,https://drive.google.com/uc?export=view&id=1n4y9bmiPgAQx76JO8Xmxc6N3jpq0cjhU,#8c6b52;#84634a;#846b52,,,Color: #8c6b52;#84634a;#846b52,#8c6b52,#84634a,#846b52,
10022,https://drive.google.com/uc?export=view&id=1VqVzOD6Yc1YdK4IISFxHE5LK4jlsYlVK,#ffffff;#6b5242;#735a4a,,,Color: #ffffff;#6b5242;#735a4a,#ffffff,#6b5242,#735a4a,
10023,https://drive.google.com/uc?export=view&id=12KU8N36bxCEpBuUB1KD0IUE_KC-ObpPm,#ffffff;#947b63;#8c735a,,,Color: #ffffff;#947b63;#8c735a,#ffffff,#947b63,#8c735a,
10024,https://drive.google.com/uc?export=view&id=1Bbe8B0MOU6wpdZsrk0xgtjQe7ePrvoTy,#94735a;#8c735a;#8c6b52,,,Color: #94735a;#8c735a;#8c6b52,#94735a,#8c735a,#8c6b52,
10025,https://drive.google.com/uc?export=view&id=1Hwpvkp7yhGaBl4bUgdYm-rTS86HfUjT-,#ffffff;#846b52;#9c846b,,,Color: #ffffff;#846b52;#9c846b,#ffffff,#846b52,#9c846b,
10026,https://drive.google.com/uc?export=view&id=1j9qxX46jpMi_hQN7Yiy8bSIgmWg3xHiT,#5a4231;#634231;#634a3a,,,Color: #5a4231;#634231;#634a3a,#5a4231,#634231,#634a3a,
10027,https://drive.google.com/uc?export=view&id=1lc-IdyXUEiNyGgq5aoU0M5hFcrHZ_qmi,#8c735a;#8c6b5a;#947b63,,,Color: #8c735a;#8c6b5a;#947b63,#8c735a,#8c6b5a,#947b63,
10028,https://drive.google.com/uc?export=view&id=1gvpdIb9U694fUMDZ53EGYfkfs-pbpfAx,#ffffff;#634a3a;#5a4a3a,,,Color: #ffffff;#634a3a;#5a4a3a,#ffffff,#634a3a,#5a4a3a,
10029,https://drive.google.com/uc?export=view&id=1RQ4ImVfG-IU4ZLSDqnr3vAujOhQ8qR9p,#ffffff;#7b634a;#6b5a42,,,Color: #ffffff;#7b634a;#6b5a42,#ffffff,#7b634a,#6b5a42,
10030,https://drive.google.com/uc?export=view&id=1zkRL0oLV4Fayg-2mRVRVY9RHZRsMkTZE,#6b5242;#634a42;#8c7b63,,,Color: #6b5242;#634a42;#8c7b63,#6b5242,#634a42,#8c7b63,
10031,https://drive.google.com/uc?export=view&id=1WcpSccp_MV2MJKHrVVoyQUm3jnwICihk,#ffffff;#52423a;#5a4a42,,,Color: #ffffff;#52423a;#5a4a42,#ffffff,#52423a,#5a4a42,
